service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20M-H50M000S-86-S,1,1,1,1,1,0,0,20200323,20200327
20M-H50M000S-86-SV,0,0,0,0,1,0,0,20200323,20200327
20M-H54M000S-46-S,1,1,1,1,1,0,0,20200323,20200529
20M-H55M000S-80-S,1,1,1,1,1,0,0,20200323,20200327
20M-H55M000S-80-SV,0,0,0,0,1,0,0,20200323,20200327
20M-H56M000S-82-S,1,1,1,1,1,0,0,20200323,20200327
20M-H56M000S-82-SV,0,0,0,0,1,0,0,20200323,20200327
20M-H57M000S-91-S,1,1,1,1,1,0,0,20200323,20200417
20M-H58M000S-84-S,1,1,1,1,1,0,0,20200323,20200327
20M-H59M000S-82-S,1,1,1,1,1,0,0,20200323,20200327
20M-H59M000S-82-SV,0,0,0,0,1,0,0,20200323,20200327
20M-H60M000S-87-S,1,1,1,1,1,0,0,20200323,20200327
20M-H62M000S-00-S,1,1,1,1,1,0,0,20200323,20200327
20M-H62M000S-00-S260,1,0,1,1,0,0,0,20200323,20200327
20M-H62M000S-00-SLMJ,1,1,0,1,0,0,0,20200323,20200327
20M-H62M000S-00-SLMV,1,0,1,0,1,0,0,20200323,20200327
20M-H62M000S-00-SMJ,0,1,0,1,0,0,0,20200323,20200327
20M-H62M000S-00-SMMJ,0,1,1,1,0,0,0,20200323,20200327
20M-H62M000S-00-SMV,0,0,1,0,1,0,0,20200323,20200327
20M-GLOBAUX-04-S,1,1,1,1,1,0,0,20200323,20200529
20M-H50M000A-04-A,0,0,0,0,0,1,0,20200328,20200328
20M-H54M000A-02-A,0,0,0,0,0,1,0,20200328,20200328
20M-H55M000A-01-A,0,0,0,0,0,1,0,20200328,20200328
20M-H56M000A-00-A,0,0,0,0,0,1,0,20200328,20200328
20M-H57M000A-01-A,0,0,0,0,0,1,0,20200328,20200328
20M-H58M000A-00-A,0,0,0,0,0,1,0,20200328,20200328
20M-H59M000A-00-A,0,0,0,0,0,1,0,20200328,20200328
20M-H60M000A-03-A,0,0,0,0,0,1,0,20200328,20200328
20M-H62M000A-00-A,0,0,0,0,0,1,0,20200328,20200328
20M-GLOBAUX-00-A,0,0,0,0,0,1,0,20200328,20200530
20M-H50M000I-03-I,0,0,0,0,0,0,1,20200329,20200329
20M-H54M000I-02-I,0,0,0,0,0,0,1,20200329,20200329
20M-H55M000I-01-I,0,0,0,0,0,0,1,20200329,20200329
20M-H56M000I-00-I,0,0,0,0,0,0,1,20200329,20200329
20M-H57M000I-02-I,0,0,0,0,0,0,1,20200329,20200329
20M-H58M000I-00-I,0,0,0,0,0,0,1,20200329,20200329
20M-H59M000I-00-I,0,0,0,0,0,0,1,20200329,20200329
20M-H60M000I-03-I,0,0,0,0,0,0,1,20200329,20200329
20M-H62M000I-00-I,0,0,0,0,0,0,1,20200329,20200329
20M-GLOBAUX-00-I,0,0,0,0,0,0,1,20200329,20200531
20M-H50M000S-89-S,1,1,1,1,1,0,0,20200330,20200417
